Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/30  20:00:00,1.798076842,2.23803004113,0.0,1.23777728346,0.0331420715304,0.0331420715304,0.0331420715304,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.958134359883
 01/30  21:00:00,1.67162672484,2.38198444014,0.0,1.45142924701,0.0388627037906,0.0388627037906,0.0388627037906,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.886988820902
 01/30  22:00:00,1.53608656155,2.68558301619,0.0,1.84277141563,0.049341075238,0.049341075238,0.049341075238,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.800262342078
 01/30  23:00:00,1.27535081435,3.36472642356,0.0,2.66637414369,0.071393427378,0.071393427378,0.071393427378,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.661531349517
 01/30  24:00:00,1.01124209382,3.8210000488,0.0,3.27751661557,0.087757055786,0.087757055786,0.087757055786,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.511486729895
 01/31  01:00:00,0.748389060517,4.18519251853,0.0,3.80614089934,0.101911220723,0.101911220723,0.101911220723,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.35258547186
 01/31  02:00:00,0.656650481778,4.8480705242,0.0,4.54339366845,0.121651511918,0.121651511918,0.121651511918,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.280308505526
 01/31  03:00:00,0.62318775973,5.19854130132,0.0,4.91388454629,0.131571580204,0.131571580204,0.131571580204,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.2605709364
 01/31  04:00:00,0.615542823679,5.36735944757,0.0,5.07751093326,0.135952754017,0.135952754017,0.135952754017,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.266101733596
 01/31  05:00:00,0.620414184483,5.69897727182,0.0,5.35213375379,0.143305909778,0.143305909778,0.143305909778,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323993775144
 01/31  06:00:00,0.672846489169,5.99720426604,0.0,5.39509578521,0.144456238466,0.144456238466,0.144456238466,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.576610004221
 01/31  07:00:00,0.890488820277,7.19656229289,0.0,6.11884516649,0.163834970072,0.163834970072,0.163834970072,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04825614414
 01/31  08:00:00,1.15236998693,6.6535873354,0.0,5.44376056404,0.14575926091,0.14575926091,0.14575926091,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.17852227043
