Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 09/04  19:00:00,2.17051773255,0.0,0.0,0.457190883013,0.152316251978,0.609507134991,0.152316251978,0.344526350571,0.070665745137,0.314732295471,0.496757296642,0.319253909742
 09/04  20:00:00,2.31333623637,0.0,0.0,0.443066338671,0.148604605237,0.591670943908,0.148604605237,0.514976263573,0.10562669991,0.281807004861,0.513835151047,0.290345173075
 09/04  21:00:00,2.1714115776,0.0,0.0,0.415590030002,0.139380321244,0.554970351247,0.139380321244,0.478710352933,0.0981882076002,0.266994745381,0.50183899966,0.255633920781
 09/04  22:00:00,1.78327781896,0.0,0.0,0.35991606159,0.120701013303,0.480617074893,0.120701013303,0.359032714826,0.0736411557002,0.216471390852,0.434277341505,0.204163141179
 09/04  23:00:00,1.37383635403,0.0,0.0,0.286828825762,0.0969312036463,0.383760029408,0.0969312036463,0.250234982907,0.051325651493,0.146949064735,0.377378929027,0.14911269646
 09/04  24:00:00,0.952412436083,0.0,0.0,0.2130282005,0.0724242509168,0.285452451417,0.0724242509168,0.126930753737,0.026034750362,0.0979160521221,0.312149855864,0.0888535725813
 09/05  01:00:00,0.750897276942,0.0,0.0,0.15804516381,0.0540934137218,0.212138577531,0.0540934137218,0.0761584788412,0.0156208474893,0.0834923761498,0.28740779363,0.0610042033004
 09/05  02:00:00,0.656685703075,0.0,0.0,0.127032164699,0.0434786249638,0.170510789663,0.0434786249638,0.0507723081445,0.0104139001448,0.0716845669617,0.284075529356,0.0541536088054
 09/05  03:00:00,0.603642314003,0.0,0.0,0.0944096324102,0.0325126025072,0.126922234917,0.0325126025072,0.0507723081445,0.0104139001448,0.0641951005342,0.280076812227,0.0561869580344
 09/05  04:00:00,0.602398496008,0.0,0.0,0.0785790758159,0.0270608844347,0.105639960251,0.0270608844347,0.0507723081445,0.0104139001448,0.0735359875481,0.269496873158,0.0774644667629
 09/05  05:00:00,0.74740124378,0.0,0.0,0.0793989635584,0.0273432288336,0.106742192392,0.0273432288336,0.0543988992085,0.0111577507397,0.0853631352956,0.300736850726,0.173927415419
 09/05  06:00:00,1.02948742159,0.0,0.0,0.0417796819407,0.0142997296771,0.0560794116178,0.0142997296771,0.101544616289,0.0208278057453,0.135604734988,0.347471857168,0.352883995778
 09/05  07:00:00,1.44904586414,0.0,0.0,0.147093847945,0.0493267457314,0.196420593677,0.0493267457314,0.192209459386,0.0394240501584,0.208909382217,0.369214881556,0.397792497141
 09/05  08:00:00,1.40893622912,0.0,0.0,0.179394503108,0.0587868676051,0.238181370713,0.0587868676051,0.15957013981,0.0327294070799,0.269481251481,0.312149855864,0.381749204166
 09/05  09:00:00,1.38348219372,0.0,0.0,0.255781277003,0.0806358982672,0.33641717527,0.0806358982672,0.0797850699051,0.0163646967203,0.330413434083,0.265664769242,0.339762048497
 09/05  10:00:00,1.48191998916,0.0,0.0,0.36896236389,0.112858796444,0.481821160333,0.112858796444,0.0616520879862,0.0126454505655,0.346380073072,0.271912764756,0.29243345245
 09/05  11:00:00,1.48764602834,0.0,0.0,0.394619887459,0.119300129963,0.513920017423,0.119300129963,0.0616520879862,0.0126454505655,0.36061507566,0.271996071363,0.251742325341
 09/05  12:00:00,1.56336371082,0.0,0.0,0.491314278818,0.145223280256,0.636537559074,0.145223280256,0.0616520879862,0.0126454505655,0.350008238641,0.267414207986,0.220031166568
 09/05  13:00:00,1.68306927661,0.0,0.0,0.615390462199,0.179999956004,0.795390418203,0.179999956004,0.0616520879862,0.0126454505655,0.319023623067,0.276661241347,0.202621455446
 09/05  14:00:00,1.81773187216,0.0,0.0,0.740944457545,0.216733501418,0.957677958964,0.216733501418,0.0616520879862,0.0126454505655,0.294229243714,0.292239576827,0.184212554106
 09/05  15:00:00,1.94195037235,0.0,0.0,0.81678885381,0.238918345493,1.0557071993,0.238918345493,0.0616520879862,0.0126454505655,0.301025880583,0.308484365163,0.187360388746
 09/05  16:00:00,2.08312658917,0.0,0.0,0.821264552178,0.245825101619,1.0670896538,0.245825101619,0.0689052967132,0.0141331490274,0.34261694473,0.364882938,0.210423606907
 09/05  17:00:00,2.4207098098,0.0,0.0,0.890187644791,0.269151821841,1.15933946663,0.269151821841,0.101544616289,0.0208278057453,0.418947458642,0.443274455045,0.261701007443
 09/05  18:00:00,2.48922510734,0.0,0.0,0.794443622973,0.248270646412,1.04271426938,0.248270646412,0.188582868322,0.0386802009275,0.382083699719,0.481262267768,0.31082680122
 09/05  19:00:00,2.54563878155,0.0,0.0,0.747810579656,0.235801587727,0.983612167383,0.235801587727,0.344526350571,0.070665745137,0.314732295471,0.496757296642,0.320269926341
 09/05  20:00:00,2.61351213381,0.0,0.0,0.672583854611,0.218337466934,0.890921321545,0.218337466934,0.514976263573,0.10562669991,0.281807004861,0.513835151047,0.29127069288
 09/05  21:00:00,2.4177051918,0.0,0.0,0.6028887424,0.197562120023,0.800450862423,0.197562120023,0.478710352933,0.0981882076002,0.266994745381,0.50183899966,0.256447023799
 09/05  22:00:00,1.98649293947,0.0,0.0,0.513631062849,0.169580546816,0.683211609665,0.169580546816,0.359032714826,0.0736411557002,0.216471390852,0.434277341505,0.204783726917
 09/05  23:00:00,1.56489306396,0.0,0.0,0.431837211857,0.142568724681,0.574405936538,0.142568724681,0.250234982907,0.051325651493,0.146949064735,0.377378929027,0.149523499264
 09/05  24:00:00,1.10411618328,0.0,0.0,0.32723703514,0.109723696339,0.436960731478,0.109723696339,0.126930753737,0.026034750362,0.0979160521221,0.312149855864,0.0890490397174
 09/06  01:00:00,0.897877878634,0.0,0.0,0.268867976749,0.0901513581925,0.359019334942,0.0901513581925,0.0761584788412,0.0156208474893,0.0834923761498,0.28740779363,0.0611040475823
 09/06  02:00:00,0.774788902778,0.0,0.0,0.215666902066,0.0728760389192,0.288542940986,0.0728760389192,0.0507723081445,0.0104139001448,0.0716845669617,0.284075529356,0.0542246571855
 09/06  03:00:00,0.732529629464,0.0,0.0,0.191515417174,0.0642145715619,0.255729988736,0.0642145715619,0.0507723081445,0.0104139001448,0.0641951005342,0.280076812227,0.0562665196777
 09/06  04:00:00,0.702707946325,0.0,0.0,0.153576968057,0.0522104928527,0.205787460909,0.0522104928527,0.0507723081445,0.0104139001448,0.0735359875481,0.269496873158,0.0776264164207
 09/06  05:00:00,0.838795456879,0.0,0.0,0.147486304659,0.0501398136306,0.19762611829,0.0501398136306,0.0543988992085,0.0111577507397,0.0853631352956,0.300736850726,0.17443770262
 09/06  06:00:00,1.21581590223,0.0,0.0,0.180312829228,0.060929762705,0.241242591933,0.060929762705,0.101544616289,0.0208278057453,0.135604734988,0.347471857168,0.354049296103
 09/06  07:00:00,1.56379643317,0.0,0.0,0.233352328456,0.0764584513624,0.309810779818,0.0764584513624,0.192209459386,0.0394240501584,0.208909382217,0.369214881556,0.399152880032
 09/06  08:00:00,1.56877065519,0.0,0.0,0.303098425738,0.0935935825308,0.396692008268,0.0935935825308,0.15957013981,0.0327294070799,0.269481251481,0.312149855864,0.383072992685
 09/06  09:00:00,1.55440832809,0.0,0.0,0.389598894824,0.116555504122,0.506154398946,0.116555504122,0.0797850699051,0.0163646967203,0.330413434083,0.265664769242,0.340950959197
 09/06  10:00:00,1.75717807989,0.0,0.0,0.586689352023,0.169368854242,0.756058206265,0.169368854242,0.0616520879862,0.0126454505655,0.346380073072,0.271912764756,0.293454497243
 09/06  11:00:00,1.69081625202,0.0,0.0,0.552799228165,0.163425657597,0.716224885762,0.163425657597,0.0616520879862,0.0126454505655,0.36061507566,0.271996071363,0.252607680687
 09/06  12:00:00,1.76350284179,0.0,0.0,0.648612952996,0.187319977868,0.835932930864,0.187319977868,0.0616520879862,0.0126454505655,0.350008238641,0.267414207986,0.220774925752
 09/06  13:00:00,1.856251436,0.0,0.0,0.751013592747,0.216892311921,0.967905904668,0.216892311921,0.0616520879862,0.0126454505655,0.319023623067,0.276661241347,0.203288128364
 09/06  14:00:00,1.98063531243,0.0,0.0,0.869031014432,0.250957323161,1.11998833759,0.250957323161,0.0616520879862,0.0126454505655,0.294229243714,0.292239576827,0.184805615743
 09/06  15:00:00,2.07759173616,0.0,0.0,0.921252059943,0.269495741201,1.19074780114,0.269495741201,0.0616520879862,0.0126454505655,0.301025880583,0.308484365163,0.187961150716
 09/06  16:00:00,2.24016985413,0.0,0.0,0.946570460379,0.276877552532,1.22344801291,0.276877552532,0.0689052967132,0.0141331490274,0.34261694473,0.364882938,0.211108512749
 09/06  17:00:00,2.58961883597,0.0,0.0,1.02454988176,0.302838818914,1.32738870068,0.302838818914,0.101544616289,0.0208278057453,0.418947458642,0.443274455045,0.262560799569
 09/06  18:00:00,2.65913547674,0.0,0.0,0.930329299976,0.281280860474,1.21161016045,0.281280860474,0.188582868322,0.0386802009275,0.382083699719,0.481262267768,0.311841279554
 09/06  19:00:00,2.70000001258,0.0,0.0,0.870602495689,0.26633646621,1.1369389619,0.26633646621,0.344526350571,0.070665745137,0.314732295471,0.496757296642,0.321304362858
 09/06  20:00:00,2.82364687261,0.0,0.0,0.842443227762,0.257670666727,1.10011389449,0.257670666727,0.514976263573,0.10562669991,0.281807004861,0.513835151047,0.292212858734
 09/06  21:00:00,2.6568238105,0.0,0.0,0.795459723338,0.243281752979,1.03874147632,0.243281752979,0.478710352933,0.0981882076002,0.266994745381,0.50183899966,0.257275028608
 09/06  22:00:00,2.22226919857,0.0,0.0,0.701676450549,0.216678601429,0.918355051979,0.216678601429,0.359032714826,0.0736411557002,0.216471390852,0.434277341505,0.205416543702
