Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 04/11  05:00:00,0.724752582114,7.51622302331,0.0,6.82549318448,0.0,0.187928247607,0.187928247607,0.187928247607,0.0693433537151,0.0151081499967,0.0861981667443,0.34906266405,0.666687200569
 04/11  06:00:00,0.875016955281,7.66357866497,0.0,6.43557359193,0.0,0.177192480425,0.177192480425,0.177192480425,0.114212562921,0.024884007474,0.138308322259,0.403307582203,1.20022616883
 04/11  07:00:00,1.11735750349,8.07719231187,0.0,6.69860296927,0.0,0.184434543176,0.184434543176,0.184434543176,0.212109057366,0.0462131593392,0.213944220876,0.428544522734,1.34907217562
 04/11  08:00:00,1.03481548977,7.57583367819,0.0,6.23880116659,0.0,0.171774689201,0.171774689201,0.171774689201,0.171318844381,0.037326011211,0.27497430448,0.362309640498,1.31207745188
 04/11  09:00:00,0.920159104328,6.99751135358,0.0,5.78047748102,0.0,0.159155532645,0.159155532645,0.159155532645,0.0815804176106,0.0177742926139,0.336182059337,0.308354802121,1.19579509876
 04/11  10:00:00,0.932653351347,7.21830982476,0.0,6.13932833817,0.0,0.169035875488,0.169035875488,0.169035875488,0.0652643324166,0.0142194351839,0.351414911732,0.315606796526,1.057243212
 04/11  11:00:00,0.918277100634,6.01622048664,0.0,5.06234389831,0.0,0.139382956203,0.139382956203,0.139382956203,0.0652643324166,0.0142194351839,0.366594887045,0.315703489785,0.932131653732
 04/11  12:00:00,0.886618724422,5.31472183552,0.0,4.45774135481,0.0,0.122736262194,0.122736262194,0.122736262194,0.0652643324166,0.0142194351839,0.356901334072,0.310385360555,0.835601846688
 04/11  13:00:00,0.850679277082,4.73958664887,0.0,3.9394720595,0.0,0.108466606094,0.108466606094,0.108466606094,0.0652643324166,0.0142194351839,0.324498591112,0.321118312275,0.777996694177
 04/11  14:00:00,0.832881458185,4.2910783454,0.0,3.54683154054,0.0,0.0976559228699,0.0976559228699,0.0976559228699,0.0652643324166,0.0142194351839,0.299429816056,0.339199951659,0.720883487679
 04/11  15:00:00,0.849265880071,3.9017988768,0.0,3.14877066202,0.0,0.086695999342,0.086695999342,0.086695999342,0.0652643324166,0.0142194351839,0.307918976015,0.358055137113,0.728366195538
 04/11  16:00:00,0.957203385767,3.65709624773,0.0,2.83016207505,0.0,0.0779236583839,0.0779236583839,0.0779236583839,0.0693433537151,0.0151081499967,0.354199750391,0.42351647328,0.79776332626
 04/11  17:00:00,1.17504511482,4.28419932263,0.0,3.30354131455,0.0,0.0909573437937,0.0909573437937,0.0909573437937,0.0938174982246,0.0204404425163,0.438213000532,0.514504829754,0.945220091684
 04/11  18:00:00,1.29222255176,4.05963600226,0.0,2.94130290519,0.0,0.0809837305109,0.0809837305109,0.0809837305109,0.171318844381,0.037326011211,0.396885009915,0.558596955739,1.07985821583
 04/11  19:00:00,1.41223963428,4.20061155868,0.0,3.05920091188,0.0,0.0842298499038,0.0842298499038,0.0842298499038,0.338558692541,0.073763313073,0.321993876894,0.576581901865,1.1016970036
 04/11  20:00:00,1.66554526278,4.35480768943,0.0,3.29179661043,0.0,0.0906339735106,0.0906339735106,0.0906339735106,0.554746829721,0.120865199974,0.285783239672,0.596404019907,1.02193213362
 04/11  21:00:00,1.69522880797,4.44418855327,0.0,3.47989370473,0.0,0.095812904374,0.095812904374,0.095812904374,0.599616038926,0.130641057451,0.269566616575,0.582480190648,0.924174944686
 04/11  22:00:00,1.39478002153,4.77152271395,0.0,3.97009754966,0.0,0.109309826436,0.109309826436,0.109309826436,0.448692342834,0.097758611198,0.217845283247,0.50406195781,0.76670652903
 04/11  23:00:00,1.10826495547,5.27070442823,0.0,4.64448162948,0.0,0.127877835357,0.127877835357,0.127877835357,0.310005551811,0.0675423112045,0.147706795011,0.438020462091,0.596052950734
 04/11  24:00:00,0.81244244064,5.56380772271,0.0,5.12305282999,0.0,0.141054472507,0.141054472507,0.141054472507,0.159081772126,0.0346598649513,0.0982246905575,0.362309640498,0.415799833003
 04/12  01:00:00,0.709307323825,6.00635181969,0.0,5.65000354133,0.0,0.155563156507,0.155563156507,0.155563156507,0.0978964944452,0.0213291518652,0.083814778355,0.333591742652,0.33337124179
 04/12  02:00:00,0.660579903235,6.24269934567,0.0,5.90967283432,0.0,0.1627127051,0.1627127051,0.1627127051,0.0652643324166,0.0142194351839,0.0715474182325,0.329724012302,0.310315875208
 04/12  03:00:00,0.660963845385,6.70236765036,0.0,6.36354530699,0.0,0.175209305143,0.175209305143,0.175209305143,0.0652643324166,0.0142194351839,0.0640760367584,0.325082735883,0.316431387733
 04/12  04:00:00,0.673267342144,7.30282272253,0.0,6.89963740658,0.0,0.189969681589,0.189969681589,0.189969681589,0.0652643324166,0.0142194351839,0.0738992009315,0.312802692023,0.381640181665
 04/12  05:00:00,0.737530559976,7.97978514467,0.0,7.28958520852,0.0,0.200706225469,0.200706225469,0.200706225469,0.0693433537151,0.0151081499967,0.0861981667443,0.34906266405,0.666157297892
 04/12  06:00:00,0.917006818,9.18682968943,0.0,7.960631828,0.0,0.219182343143,0.219182343143,0.219182343143,0.114212562921,0.024884007474,0.138308322259,0.403307582203,1.19841895722
 04/12  07:00:00,1.1123753151,7.89270141145,0.0,6.51765149781,0.0,0.179452354781,0.179452354781,0.179452354781,0.212109057366,0.0462131593392,0.213944220876,0.428544522734,1.34553274667
 04/12  08:00:00,1.02720100021,7.2961024576,0.0,5.96224536804,0.0,0.164160199642,0.164160199642,0.164160199642,0.171318844381,0.037326011211,0.27497430448,0.362309640498,1.30890202985
 04/12  09:00:00,0.905396729918,6.45888158643,0.0,5.24431281604,0.0,0.144393158236,0.144393158236,0.144393158236,0.0815804176106,0.0177742926139,0.336182059337,0.308354802121,1.19332999659
 04/12  10:00:00,0.908916536332,6.35432623546,0.0,5.27721489238,0.0,0.145299060474,0.145299060474,0.145299060474,0.0652643324166,0.0142194351839,0.351414911732,0.315606796526,1.05537306848
 04/12  11:00:00,0.889232174296,4.96009230694,0.0,4.00744156571,0.0,0.110338029865,0.110338029865,0.110338029865,0.0652643324166,0.0142194351839,0.366594887045,0.315703489785,0.930905806624
 04/12  12:00:00,0.851275990474,4.03058209116,0.0,3.17410468627,0.0,0.0873935282463,0.0873935282463,0.0873935282463,0.0652643324166,0.0142194351839,0.356901334072,0.310385360555,0.835098770871
 04/12  13:00:00,0.813833791453,3.40128973334,0.0,2.60125593586,0.0,0.0716211204658,0.0716211204658,0.0716211204658,0.0652643324166,0.0142194351839,0.324498591112,0.321118312275,0.777915902279
 04/12  14:00:00,0.791878524776,2.80184447031,0.0,2.05761825786,0.0,0.0566529894607,0.0566529894607,0.0566529894607,0.0652643324166,0.0142194351839,0.299429816056,0.339199951659,0.720862895271
 04/12  15:00:00,0.810022781584,2.47646484166,0.0,1.72347401468,0.0,0.0474529008559,0.0474529008559,0.0474529008559,0.0652643324166,0.0142194351839,0.307918976015,0.358055137113,0.728328807729
